height,timestamp,nonce,miner,k_multiplier,approx,diff,precision_pct,resonance_strength,is_phi_resonant,birthday_modular_diff,birthday_substring_hits,birthday_resonant,birthday_echo_type
953429,1781302473,3806147781,Unknown,2790429,3806147201.767964,579.232036,99.999985,0.150687,True,15366709,,False,none
953428,1781300628,977945596,Unknown,716969,977946241.636815,645.636815,99.999934,0.053319,True,14714340,,False,none
953427,1781299976,95834537,Unknown,70260,95834691.510236,154.510236,99.999839,0.773446,False,2618609,,False,none
953426,1781299973,1421883703,Unknown,1042436,1421883468.248857,234.751143,99.999983,0.655790,True,7427193,,False,none
953425,1781299775,3810436385,Unknown,2793574,3810436984.073681,599.073681,99.999984,0.121593,True,11416663,,False,none
