height,nonce,block_hash,difficulty,leading_zeros_hex,leading_zeros_bits,phi_resonance_strength,phi_diff,is_phi_resonant
953744,1379866275,00000000000000000000a074ef31a4b404c6599a0a4392a4fdfeae1d9be96269,124932866006548.16,20,80,0.245359,514.6653,True
953743,520596254,00000000000000000001da9b60edb82524298efa1d7015e50f0ccea904d63259,124932866006548.16,19,79,0.205549,541.8158,False
953742,2186414256,0000000000000000000093a2793f7311d0455533ce0c25cbbae12b6bcb3af7eb,124932866006548.16,20,80,0.717268,192.8232,True
953741,1153513312,000000000000000000022053bcfdb3df5dcb1f741d80da7bc0f0ace628ddc431,124932866006548.16,19,78,0.583574,284.0026,True
953740,726482239,00000000000000000000083615a1c2c0fe4303daa0bb1b71db42ecac969e9c67,124932866006548.16,21,84,0.348207,444.5229,True
953739,3999521198,0000000000000000000226540d10a1181eba43ecbd1221eeeb56384e894a6376,124932866006548.16,19,78,0.431518,387.7049,True
953738,752702380,0000000000000000000158b0def1e5b1499a2b419fc5414e99076ca89f5b7503,124932866006548.16,19,79,0.414326,399.4298,True
953737,2806831263,000000000000000000015762ca50a38f45436b4455e5131d9c38135352764617,124932866006548.16,19,79,0.84992,102.3549,True
953736,2101449668,00000000000000000002005c888ab355c04b7980e5e2315a8c2e4782985914f5,124932866006548.16,19,78,0.157638,574.4911,True
953735,2413010762,00000000000000000000cfd13481c8db03b76780e61316f362a35e37542ed0e8,124932866006548.16,20,80,0.045498,650.9707,True
953734,3107736607,00000000000000000000894950df8deb42e0a0e52b5e46b849add79a767a9b81,124932866006548.16,20,80,0.905248,64.6211,True
953733,1564363100,00000000000000000001ca47390bb95cfd7c8f9965b6989b0c5a103ecf09e3ef,124932866006548.16,19,79,0.696232,207.1698,True
953732,3244748858,0000000000000000000033ce6ae4e2b2caba81e643795676c31e586bad3a1a2e,124932866006548.16,20,82,0.715511,194.0218,True
953731,2573232716,00000000000000000001817b3c601197621702890bc7a4a6c119f3549728d170,124932866006548.16,19,79,0.529455,320.912,True
953730,777651138,00000000000000000000e4368deaee2df286810846ec508c170a6c22d1b9344f,124932866006548.16,20,80,0.67739,220.02,True
953729,165784482,000000000000000000016644ed280c4010045d5c593a6927f5cc9c75de387295,124932866006548.16,19,79,0.620077,259.1077,False
953728,3668515110,000000000000000000015204cf7f4d64e4c24ccff86b585371cc737f4c56fe45,124932866006548.16,19,79,0.522299,325.7922,True
953727,3004425835,00000000000000000001c86570fcb8204610ff24c35c91b42b635476c5e796f2,124932866006548.16,19,79,0.894209,72.1497,True
953726,2664888045,000000000000000000022c612de44b0d70a73d3b42531529726ed21958ea239f,124932866006548.16,19,78,0.623683,256.6481,True
953725,2309167673,00000000000000000000844f9c89beccc2ef590d9d5857634c3889636424eeb9,124932866006548.16,20,80,0.466504,363.8445,True
